mal_id,title,title_english,title_japanese,type,chapters,volumes,status,publishing,published_from,published_to,score,scored_by,rank,popularity,members,favorites,authors,serializations,genres,themes,demographics,synopsis,image_url
145457,Murai no Koi,Murai in Love,村井の恋,Manga,71.0,7.0,Finished,False,2018-06-18,2022-06-13,6.87,192.0,11959.0,14286,1399,9,"Shima, Junta",Gene LINE,Comedy|Romance,Gag Humor|Otaku Culture|School,,"The story tells a romantic comedy between Tanaka, a high school teacher who loves otome games, and Murai, a high school boy who is in love with Tanaka. Tanaka, who has never been involved in a real-life romance, is confessed to by Murai but rejects his confession. On the next day, Murai transforms himself into the exact likeness of Tanaka's favorite character from her favorite otome game.

(Source: Crunchyroll)",https://myanimelist.net/images/manga/2/257809.jpg
40187,"Omae wo Otaku ni Shiteyaru kara, Ore wo Riajuu ni Shitekure!",,おまえをオタクにしてやるから、俺をリア充にしてくれ！,Light Novel,,15.0,Finished,False,2011-07-20,2016-08-20,7.33,266.0,5036.0,14286,1399,11,"Murakami, Rin|Anapon",,Comedy|Romance,School,,"Kashiwada Naoki was determined to lead his high school life without anyone knowing that he's an Otaku. However, his classmate Bishoujo, Koigasaki Momo, who was rumored among the girls to be a bitch, found him out!? Before the despairing Kashiwada, she said something undoubtedly surprising.

""Aren't you an Otaku? Then, make me into an Otaku!""

The love story of two individuals bounded by an agreement of Otaku and Riajuu starts!!

(Source: Baka-Tsuki)",https://myanimelist.net/images/manga/3/175093.jpg
119287,Atashi no Pink ga Afurechau,My Pink Is Overflowing,あたしのピンクがあふれちゃう,Manga,24.0,6.0,Finished,False,2017-03-01,2021-06-01,6.84,312.0,12366.0,14289,1399,11,"Monou, Yuki",Ane Friend,Romance,,Shoujo,"Himari's a waitress with terrible luck with men, always getting compared to other women and cast aside by those she falls in love with. Thanks to a weakness for men in white dress shirts, though, she can't help but be attracted to her handsome manager. However, sick of being heartbroken, she vows instead to only date inexperienced men so she won't be compared to other women. She goes to a mixer and gets acquainted with someone she thinks could be the one, but it turns out he's only got one thing on his mind... Then she has an unexpected encounter with her manager on the street, and the two of them end up at a love hotel, where she discovers...

(Source: Kodansha Comics USA)",https://myanimelist.net/images/manga/1/217312.jpg
21049,Kisei Juui Suzune,The Parasite Doctor Suzune,寄性獣医・鈴音,Manga,111.0,14.0,Finished,False,2004-12-14,2021-11-08,6.3,227.0,,14289,1399,7,Haruki,KiSSCA,Supernatural|Erotica,,Seinen,"In a city so over-indulgent and careless, reveling in food and sex and completely unaware of the epidemic of parasites, it's no wonder so many people are infected. Dr. Suzune Arizono isn't exactly a normal doctor. For one, she's actually a veterinarian— but her specialty is parasites, and when those parasites make a habit of nesting inside human genitalia and overriding their senses with lust, her job is bound to get more than a little messy!

As the spunky and beautiful heroine of this sexy sci-fi mystery, Suzune searches for infected victims to stop the parasites from driving their hosts literally crazy with lust. However, despite her desire to help people, her reasons aren't completely selfless. The parasites are Suzune's only link to her missing father, but will following these wet and slimy clues really lead her to his whereabouts, or is this voluptuous vet in over her head?

(Source: Project-H)",https://myanimelist.net/images/manga/1/92651.jpg
36135,Hanazakari no Kimitachi e: Special-hen,,花ざかりの君たちへ スペシャル編,One-shot,1.0,,Finished,False,2004-11-20,,7.47,584.0,3589.0,14290,1399,1,"Nakajo, Hisaya",Hana to Yume,Romance,Crossdressing|School,Shoujo,"While going to Seikime's wedding, the gang has reunited after a few years since graduation.",https://myanimelist.net/images/manga/1/65369.jpg
153733,Bar Flowers,,BAR Flowers,Manga,39.0,4.0,Finished,False,2022-03-18,2023-09-01,6.0,241.0,21774.0,14291,1398,4,Yukino,Yoru Sunday,Ecchi,Adult Cast,,"I am 30 years old, jobless, and in despair, when I was invited to become a ""Girls Bar Manager."" Thus, I entered the world of urban nightlife, and what awaited me was a very cute cast of girls. However, the owner had an ironclad rule for me: ""Never touch any of the bar girls."" I wonder if I will be able to stick to the rule... This is the start of an adult-themed romantic comedy set in a girls bar, a place of relaxation for gentlemen! 

(Source: Shogakukan, translated)",https://myanimelist.net/images/manga/2/272532.jpg
168524,The Villainess Captured the Grand Duke,The Villainess Captured the Grand Duke,악녀는 대공을 사로잡았다,Manhwa,,,Publishing,True,2024-02-23,,7.18,229.0,6986.0,14291,1398,0,Dorong|Ppyap,KakaoPage,Fantasy|Romance,Isekai|Villainess,,"When I transmigrated into a novel, I did what anyone would do—propose to my favorite character, Grand Duke Reigrein. I mean, he's the perfect man, so who wouldn't want to marry him? As Schueur, I was supposed to be the villainess, but I'd rather save my honey! His Highness's special ability consumes his emotions every time he uses it, so my goal is to awaken feelings in him. So far, I've only caused him irritation and annoyance, but one day I'll make him notice me!

(Source: Tapas Media)",https://myanimelist.net/images/manga/1/299222.jpg
130382,Futago Wazurai,Their Will is Complex and White.,ふたごわずらい,Manga,12.0,3.0,Finished,False,2020-01-18,2020-12-18,5.78,440.0,22171.0,14292,1397,2,"Sakurano, Itsuki",Comic Yuri Hime,Drama|Girls Love,School,,"Ako and Komachi are twin high schoolers who are famous for being close. They look almost exactly the same, except for the length of their hair. They're also similar in terms of academic performance, but in their latest exams, Ako claimed to be in a ""slump"" that caused her scores to fall.

Because of this, she has to take remedial English lessons from the assistant homeroom teacher, Maki Oosawa. When asked about the reason for her declining performance, Ako tells her that she was worried about love.

(Source: Ichijinsha, translated)",https://myanimelist.net/images/manga/2/235549.jpg
122707,Kubi wo Kiraneba Wakarumai,,首を斬らねば分かるまい,Manga,47.0,5.0,Finished,False,2019-10-28,2020-10-17,6.2,226.0,,14293,1397,2,"Monma, Tsukasa|Kanata, Yoshiki",Young Magazine (Weekly),Action|Drama|Romance|Erotica,Historical|Psychological|Samurai,Seinen,,https://myanimelist.net/images/manga/3/244895.jpg
119569,Last Round Arthurs,Last Round Arthurs,ラストラウンド・アーサーズ,Manga,15.0,2.0,Finished,False,2019-01-04,2020-05-02,6.21,289.0,20892.0,14293,1397,3,"Hitsuji, Tarou|Yuzuriha",Young Ace,Action|Adventure|Comedy|Fantasy|Ecchi,,Seinen,"Local high school prodigy Rintaro Magami's daily life is pretty boring, though not for lack of things to do. He's just...done everything already. In order to kill some time, he deliberately teams up with Luna, the most good-for-nothing girl around, and enters a competition to decide the next successor of the legendary King Arthur. But there's just one problem... Luna pawned off the holy sword Excalibur!

(Source: Yen Press)",https://myanimelist.net/images/manga/3/220949.jpg
79807,Shinyaku Toaru Majutsu no Index SS,,新約 とある魔術の禁書目録SS,Light Novel,11.0,1.0,Finished,False,2014-09-09,,7.22,446.0,6436.0,14296,1397,13,"Kamachi, Kazuma|Haimura, Kiyotaka",,Action|Comedy,,,"The story details Index going out in the city on her own after being given money by Kamijou Touma, and later meeting and confronting a magician.

(Source: Toaru Majutsu no Index Wikia)",https://myanimelist.net/images/manga/1/138297.jpg
34247,Westwood Vibrato,,WESTWOOD VIBRATO,Manga,44.0,4.0,Finished,False,2010-04-19,2012-03-19,7.47,395.0,3624.0,14296,1397,10,"Yoon, In-Wan|Kim, Sun-hee",Sunday Gene-X,Drama,Music,Seinen,"Deep in the country of South Africa, there is a famous master instrument repairer whose skills draw musicians from all walks of life. While she works, she asks the players to tell their stories, immersing herself in their tales of sadness, love, tragedy, and hope as she restores the instruments behind them.",https://myanimelist.net/images/manga/2/259649.jpg
147321,Koushaku Chakunan Koushoku Monogatari: Isekai Harem Eiyuu Senki,,侯爵嫡男好色物語 ～異世界ハーレム英雄戦記～,Manga,,,Publishing,True,2021-06-20,,5.98,235.0,,14297,1397,4,GEN|AL,MAGCOMI,Fantasy|Erotica,Harem|Isekai|Reincarnation,,"A Japanese salary man was reincarnated in a different world with swords and magic. He reincarnated into the family of a powerful noble. One day when he became twelve years old, he was suddenly summoned by his father.

""I do not mind whether it is a woman in the town or a maid in our house, learn about women.""

Having gained the permission of his father, he uses his power as a noble to have his way with women.

(Source: Shousetsuka ni Narou, translated)",https://myanimelist.net/images/manga/1/261499.jpg
4242,Tales of Innocence,,テイルズ オブ イノセンス,Manga,12.0,3.0,Finished,False,2007-11-02,2008-09-01,6.91,548.0,11172.0,14297,1397,5,"Kaidou, Hiroyuki|Bandai-Namco",Jump SQ.,Adventure|Fantasy,,Shounen,"For a long time now, the Capital Kingdom of Regunum has kept its dominance over the land during the raging wars, and kept the world at peace. There are, however, the recent appearances of humans who held within them great mystical power, the ""zinousha"" (literally translated as ""a person with a gift/talent""). The people started fearing these inoushas, and began to detest them. Because of this, the capital of Regunum carry out a movement to seize and capture all inoushas within the land to keep the people at bay.

At this time, Ruca, the son of a merchant living in Renugum, discovers that he also holds the same mystical power...

(Source: OneManga)",https://myanimelist.net/images/manga/1/146691.jpg
101400,Hataraku Maou-sama! 0,,はたらく魔王さま！0,Light Novel,9.0,2.0,Finished,False,2014-09-10,2016-09-10,7.6,228.0,2653.0,14297,1397,8,"Wagahara, Satoshi|029",,Comedy|Fantasy,,,,https://myanimelist.net/images/manga/2/189232.jpg
